inquiry_id,listing_id,listing_name,user_id
LIcHC21K0XzT,LbyAk88qUDIy,MyTown Athens,UL7J0tDT8BFS
LIbHxrsA0rKQ,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",Ubx41SjkmVOZ
LI9WpxEiOIoy,LbX0HYnzVHKI,Female Bedspace for Rent in Quezon City at The Avenue Residences,U3WX25tVMWmd
LIjmptAwBKya,LbYq2DZdfFSk,Condo for Students and Office Workers,UmuMIyn9pweL
LIBckTgDYrPq,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UYiyENaVDn4v
LIUEQIR66Evl,Lbg0CRcdu3tg,"STUDIOUNIT FOR RENT IN MANILA NEAR MAKATI,MANDA,BGC",U1sAW7TiUnIv
LIckkhgdcYw2,LbFKmFoxTE2F,"Room for Rent in Cubao, Quezon City",UZEghujU0XSC
LIpHD9qpj2cO,Lb32JW11NKLq,Bedspace for Rent near UST and U-Belt,UBm73nJ38Ln9
LIZaiKm2e4Ft,Lb32JW11NKLq,Bedspace for Rent near UST and U-Belt,UOy7LRhncAO1
LIzsIfOFOeOt,LbkTvqH7N4ED,MyTown Istanbul,UOy7LRhncAO1
LIWkM91BlAKQ,LbeGaRqx7WoL,Bedspace for Working Professionals in Alabang Muntinlupa,U6ONezbPHorL
LIEO70vEH1Cy,LbFKmFoxTE2F,"Room for Rent in Cubao, Quezon City",UiG11xTlXcYl
LIpdOrEl4TXq,Lbyu7MvkWKSS,Male Bedspace for Rent in Quezon City at The Avenue Residences,U1p8dmqqXwMp
LIF4aSK3S35p,LbUsorXoHYZp,Urban Deca Homes Manila Bldg 12,UPGWvSxwK63Y
LI43Ef8URslL,LbQGS9PAUcGA,CONDO AT TAFT,UPGWvSxwK63Y
LI5AS9LWYX2d,LbyAk88qUDIy,MyTown Athens,UPGWvSxwK63Y
LI7UrtpOmeWN,LbIMkDiHvfp5,STUDIO SUNTRUST ASMARA CONDOMINIUM NEAR ST.LUKE'S & TUA,UBeD6Fmn4RyY
LIbrhg5Dvwaa,LbrCm8s9V2s0,Bedspace for Rent in Recto near UBelt,UBeD6Fmn4RyY
LIGTWKWzUOr3,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UBeD6Fmn4RyY
LIC6aUyFsXS2,LbBmnbz8aagx,MyTown Amsterdam,U3ljR4plrOlf
LINXmXaNC6oO,Lb4j4pDHIUn6,Room For Rent in U-Belt,UnnhEAfuL2u8
LI9u0Ugf42AJ,Lbspik94PjrJ,Dormitory near UST,Ubt4krjGl086
LIXw8ciUVkjI,LbSk8S5TMhBB,Crown Tower University Belt: Fully Furnished,USNuhMGlIO5j
LIcdpprxC4si,Lb3zEncOAP9U,Bedspace for Rent in Makati near Rockwell,UNX3LFyELVlO
LIlXAIflblry,LbT3TkNtya8Z,FOR RENT: VIERA RESIDENCES,UO1yWCGiDCDp
LIXogRYTQOgo,LbBmnbz8aagx,MyTown Amsterdam,UbaP5c1DLWP5
LIDkrtaVx9eA,LbRQKBnbdZJR,1-BR Fully Furnished Condo Unit,UQ5yzbMxw2Cl
LIuOhRoEgY2A,LbnlTMPipfv4,Condo Unit at Vista Recto,UO1yWCGiDCDp
LIlwF8QdLckh,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UBM9gmYLXNvA
LIOKi0t3oei0,Lb4j4pDHIUn6,Room For Rent in U-Belt,UIFQoGaJTlfq
LIyEL4nCuA72,Lbt03tcLQGMD,"Room for Rent near Taft, Vito Cruz, CSB, DLSU",U86ySUThDTbB
LIopqppuKDVS,LbBqY61MoxCJ,MyTown Rio,U7vRki6TWqf4
LIducvdtjeYF,LbaBI3IYegK6,MyTown Los Angeles,U7vRki6TWqf4
LIUdJXMqW5rC,Lb32JW11NKLq,Bedspace for Rent near UST and U-Belt,U8TqPl9VeErM
LIxv0RaArbbJ,LbFKmFoxTE2F,"Room for Rent in Cubao, Quezon City",ULy4DmmpUOdx
LIUmmdesaoWS,LbX0HYnzVHKI,Female Bedspace for Rent in Quezon City at The Avenue Residences,U8TqPl9VeErM
LIoRoA8VcQWT,Lb4j4pDHIUn6,Room For Rent in U-Belt,UBeD6Fmn4RyY
LI32FWcU4dhb,LbBqY61MoxCJ,MyTown Rio,UbaP5c1DLWP5
LIbj8ABbhdpk,LbBqY61MoxCJ,MyTown Rio,UznOvxzsDyqV
LIEDQ1EgJO1j,LbXtVNYfI1FE,"Urban Pad: Semi-Furnished, 4 Loft Beds, Free WiFi, and Study hub",UD5es60ydKuo
LIGJHS3JJzHh,LbyAk88qUDIy,MyTown Athens,UD5es60ydKuo
LIXyUE1s2TVo,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UkhNJiI2Qsmz
LItn1bW6paXe,LbWt3oI9m7qJ,MyTown Tokyo,UD5es60ydKuo
LI3gsWMAPjRT,Lbt03tcLQGMD,"Room for Rent near Taft, Vito Cruz, CSB, DLSU",U0KDTgnQ4FLK
LIWBAdy726nZ,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UmuMIyn9pweL
LIXbQfuUDP8B,LbX0HYnzVHKI,Female Bedspace for Rent in Quezon City at The Avenue Residences,UpagsPr5Bik4
LIhdlkUkkQAP,LbXtVNYfI1FE,"Urban Pad: Semi-Furnished, 4 Loft Beds, Free WiFi, and Study hub",UIvzMKrqu3kS
LINCIqDZJiHK,LbXtVNYfI1FE,"Urban Pad: Semi-Furnished, 4 Loft Beds, Free WiFi, and Study hub",UwDFrNibqbhd
LIWeYoUc3T7l,Lb4j4pDHIUn6,Room For Rent in U-Belt,UwDFrNibqbhd
LInciR8XE32U,LbBqY61MoxCJ,MyTown Rio,UIa9VSaZpTv3
LIEfWy88rgzj,LbkTvqH7N4ED,MyTown Istanbul,UJkiYJpSr27o
LIhQbNHcD0Db,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UJkiYJpSr27o
LIMoTkuKmkqn,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UJkiYJpSr27o
LIuHGwvG63OD,LbrCm8s9V2s0,Bedspace for Rent in Recto near UBelt,UHi9yTfYCJ0T
LIquh86jReyP,LbhRlzZgQCoU,Bed Space Manila,UK942S9bNFyK
LIs1tLqhvSG7,Lbydte29Ufmp,"Bed space for rent in Maui Oasis, Sta. Mesa, Manila!!! RUSH!!!",UIa9VSaZpTv3
LIgTbJj6IPFQ,Lb3zEncOAP9U,Bedspace for Rent in Makati near Rockwell,UIa9VSaZpTv3
LIc1dUj1vuEo,LbrCm8s9V2s0,Bedspace for Rent in Recto near UBelt,UIa9VSaZpTv3
LI57tMsTrDrh,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UZ19Hzuxtt7i
LIpTk5pomFHa,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",Uf1OxY6PaXPa
LISla9UgjRoz,LbeGaRqx7WoL,Bedspace for Working Professionals in Alabang Muntinlupa,UwwsnJeiawnB
LIzDTlgoNRgu,Lb32JW11NKLq,Bedspace for Rent near UST and U-Belt,Ucs8O8rtx50I
LIyJLhSWErzk,Lb0w1zKPLM2R,Bedspace for Ladies in Sampaloc Manila,UE2O44Q7tOeK
LIomWzgQCBgG,LbVsjgRtWITG,Suntrust Solana Condo: Looking for 3 female bedspacers,Ugb4e8UXYFWU
LIcEZQ5N9nkm,LbnHF8nOqohR,Dorm Suites Alabang,Ub8mrtMfo0Co
